invoice_number,invoice_date,supplier_name,supplier_address,supplier_vat,customer_name,customer_address,currency,subtotal,tax,total,line_items_json
86864,2025-29-03,Polychemtex Inc.,"1 Main Street
Townsville
DH9 OTB",GB999 9999 73,ACME Inc,"44 Shore St
Macduff
AB4 1TX",USD,1072.83,214.57,1287.4,"[{'description': 'Catalyst 1 liter', 'quantity': 10.0, 'unit_price': 59.99, 'total': 500.0}, {'description': 'Resin', 'quantity': 10.0, 'unit_price': 59.99, 'total': 500.0}, {'description': 'Deionized water', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'Potassium Hydroxide', 'quantity': 1.0, 'unit_price': 17.99, 'total': 17.99}, {'description': 'EDTA', 'quantity': 10.0, 'unit_price': 1.49, 'total': 14.9}, {'description': 'Polymer', 'quantity': 1.0, 'unit_price': 29.99, 'total': 29.99}]"
347003,2025-29-03,Contoso Asia,"123 Xia Street
Beijing
100027",CN213 4444 66,ACME Inc,"44 Shore St
Macduff
AB4 1TX",USD,481059.99,96212.0,577271.99,"[{'description': '12345 SpeakerCable Speaker cable 10', 'quantity': 650.0, 'unit_price': 300.0, 'total': 195000.0}, {'description': '55551 SurroundSoundReceive', 'quantity': 450.0, 'unit_price': 320.0, 'total': 144000.0}, {'description': '12333 TelevisionM12037 Television M120 37 Silver', 'quantity': 625.0, 'unit_price': 160.0, 'total': 100000.0}, {'description': '22333 Soundbar', 'quantity': 350.0, 'unit_price': 120.0, 'total': 42000.0}, {'description': '17111 0.1 Cable', 'quantity': 1.0, 'unit_price': 59.99, 'total': 59.99}]"
870629,2025-29-03,Profile Construction,1776 Liberty Way S66 3XH,,ACME Inc,44 Shore St Sunnyvale AB4 1TX Macduff,USD,3299.9,659.98,4459.88,"[{'description': 'Material A', 'quantity': 25.0, 'unit_price': 250.0, 'total': 6250.0}, {'description': 'Cement 20 lbs', 'quantity': 8.0, 'unit_price': 240.0, 'total': 1920.0}, {'description': 'Aluminum siding', 'quantity': 6.0, 'unit_price': 500.0, 'total': 3000.0}, {'description': 'Material B', 'quantity': 10.0, 'unit_price': 29.99, 'total': 299.9}]"
45474,2025-29-03,Anconia Corp,"18144 Baldwin Way
Sunnyvale
S66 3XH",GB339 0727 47,ACME Inc,"44 Shore St
Macduff
AB4 1TX",USD,1046.16,209.23,1255.39,"[{'description': 'M0018 Polyol', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0019 Diisocyanate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0020 Carbon Dioxide', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0052 Laser', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0053 Lens', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2005 Oleic Acid', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2007 Glycerine', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2008 Sodium Tallowate', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M3006 Paint Base', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M4004 Polypropylene', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M4005 Rubber', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M4007 Additive', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M4008 Pigment', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M5001 Aluminum Silicate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M5002 Magnesium Silicate', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5003 Zinc Oxide', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5004 Distilled Solvent', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5005 Petroleum Distillate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M7001 Sulfur Dioxide', 'quantity': 10.0, 'unit_price': 3.99, 'total': 39.9}, {'description': 'M7002 Sodium Benzoate', 'quantity': 10.0, 'unit_price': 3.99, 'total': 39.9}, {'description': 'M9202 Dust cap', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M9203 Ferrite cap', 'quantity': 1.0, 'unit_price': 9.95, 'total': 9.95}, {'description': 'M9210 Cone and coil assembly', 'quantity': 1.0, 'unit_price': 9.95, 'total': 9.95}, {'description': 'P2000 Cleaner', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'P4000 Polypropylene pellets', 'quantity': 1.0, 'unit_price': 16.5, 'total': 16.5}, {'description': 'P4001 Polypropylene chips', 'quantity': 7.0, 'unit_price': 36.5, 'total': 255.5}, {'description': 'P4002 Polypropylene blocks', 'quantity': 10.0, 'unit_price': 9.99, 'total': 99.9}, {'description': 'P4003 Polypropylene slag', 'quantity': 10.0, 'unit_price': 9.99, 'total': 99.9}, {'description': 'P5000 Parts Wash Solvent', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M9104 Jar', 'quantity': 1.0, 'unit_price': 17.99, 'total': 17.99}, {'description': 'M9005 Plastic Bottle – 15.2 FL Oz (450 ml)', 'quantity': 10.0, 'unit_price': 1.49, 'total': 14.9}, {'description': 'PK-237 Polymer', 'quantity': 5.0, 'unit_price': 5.99, 'total': 29.95}]"
405993,"March 29, 2025",Cloud VPS,"35997 Better St
Kansas City, KS 66102",EU123456789,Henry Rearden,"c/o ACME Inc
44 Shore St
Macduff
AB4 1TX",USD,42.35,8.47,50.82,"[{'description': 'Level II Cloud VPS', 'quantity': 1.0, 'unit_price': 42.35, 'total': 42.35}]"
86865,2025-08-04,Polychemtex Inc.,"1 Main Street
Townsville
DH9 OTB",GB999 9999 73,ACME Inc,"44 Shore St
Macduff
AB4 1TX",USD,1102.82,220.56,1323.38,"[{'description': 'Catalyst 1 liter', 'quantity': 10.0, 'unit_price': 59.99, 'total': 500.0}, {'description': 'Resin', 'quantity': 10.0, 'unit_price': 59.99, 'total': 500.0}, {'description': 'Deionized water', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'Potassium Hydroxide', 'quantity': 1.0, 'unit_price': 17.99, 'total': 17.99}, {'description': 'EDTA', 'quantity': 10.0, 'unit_price': 1.49, 'total': 14.9}, {'description': 'Polymer', 'quantity': 2.0, 'unit_price': 29.99, 'total': 59.98}]"
347004,2025-08-04,Contoso Asia,"123 Xia Street, Beijing, 100027",CN213 4444 66,ACME Inc,"44 Shore St, Macduff, AB4 1TX",USD,482499.75,96499.95,578999.7,"[{'description': 'SpeakerCable Speaker cable 10', 'quantity': 650.0, 'unit_price': 300.0, 'total': 195000.0}, {'description': 'SurroundSoundReceive', 'quantity': 450.0, 'unit_price': 320.0, 'total': 144000.0}, {'description': 'TelevisionM12037 Television M120 37 Silver', 'quantity': 625.0, 'unit_price': 160.0, 'total': 100000.0}, {'description': 'Soundbar', 'quantity': 350.0, 'unit_price': 120.0, 'total': 42000.0}, {'description': '0.1 Cable', 'quantity': 25.0, 'unit_price': 59.99, 'total': 1499.75}]"
870630,2025-08-04,Profile Construction,"1776 Liberty Way, S66 3XH Sunnyvale",,ACME Inc,"44 Shore St, AB4 1TX Macduff",USD,3449.85,689.97,4639.82,"[{'description': 'Material A', 'quantity': 25.0, 'unit_price': 250.0, 'total': 6250.0}, {'description': 'Cement 20 lbs', 'quantity': 8.0, 'unit_price': 240.0, 'total': 1920.0}, {'description': 'Aluminum siding', 'quantity': 6.0, 'unit_price': 500.0, 'total': 3000.0}, {'description': 'Material B', 'quantity': 15.0, 'unit_price': 29.99, 'total': 449.85}]"
45475,2025-08-04,Anconia Corp,"18144 Baldwin Way
Sunnyvale
S66 3XH",GB339 0727 47,ACME Inc,"44 Shore St
Macduff
AB4 1TX",USD,1106.06,221.21,1327.27,"[{'description': 'M0018 Polyol', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0019 Diisocyanate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0020 Carbon Dioxide', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0052 Laser', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M0053 Lens', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2005 Oleic Acid', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2007 Glycerine', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M2008 Sodium Tallowate', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M3006 Paint Base', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M4004 Polypropylene', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M4005 Rubber', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M4007 Additive', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M4008 Pigment', 'quantity': 1.0, 'unit_price': 10.99, 'total': 10.99}, {'description': 'M5001 Aluminum Silicate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M5002 Magnesium Silicate', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5003 Zinc Oxide', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5004 Distilled Solvent', 'quantity': 10.0, 'unit_price': 4.99, 'total': 49.9}, {'description': 'M5005 Petroleum Distillate', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M7001 Sulfur Dioxide', 'quantity': 10.0, 'unit_price': 3.99, 'total': 39.9}, {'description': 'M7002 Sodium Benzoate', 'quantity': 10.0, 'unit_price': 3.99, 'total': 39.9}, {'description': 'M9202 Dust cap', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M9203 Ferrite cap', 'quantity': 1.0, 'unit_price': 9.95, 'total': 9.95}, {'description': 'M9210 Cone and coil assembly', 'quantity': 1.0, 'unit_price': 9.95, 'total': 9.95}, {'description': 'P2000 Cleaner', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'P4000 Polypropylene pellets', 'quantity': 1.0, 'unit_price': 16.5, 'total': 16.5}, {'description': 'P4001 Polypropylene chips', 'quantity': 7.0, 'unit_price': 36.5, 'total': 255.5}, {'description': 'P4002 Polypropylene blocks', 'quantity': 10.0, 'unit_price': 9.99, 'total': 99.9}, {'description': 'P4003 Polypropylene slag', 'quantity': 10.0, 'unit_price': 9.99, 'total': 99.9}, {'description': 'P5000 Parts Wash Solvent', 'quantity': 5.0, 'unit_price': 1.99, 'total': 9.95}, {'description': 'M9104 Jar', 'quantity': 1.0, 'unit_price': 17.99, 'total': 17.99}, {'description': 'M9005 Plastic Bottle – 15.2 FL Oz (450 ml)', 'quantity': 10.0, 'unit_price': 1.49, 'total': 14.9}, {'description': 'PK-237 Polymer', 'quantity': 15.0, 'unit_price': 5.99, 'total': 89.85}]"
405994,"April 8, 2025",Cloud VPS,"35997 Better St, Kansas City, KS 66102",EU123456789,Henry Rearden,"c/o ACME Inc
44 Shore St
Macduff
AB4 1TX",USD,42.35,8.47,50.82,"[{'description': 'Level II Cloud VPS', 'quantity': 1.0, 'unit_price': 42.35, 'total': 42.35}]"
